Emotion,Emotion_Level,Gender,Race,Ethnicity,Manipulation,Detection Score,Original Score
SAD,HI.wav,Male,Caucasian,Not Hispanic,Lossy Compression,0.9761800169944763,1.0
SAD,HI.wav,Male,Caucasian,Not Hispanic,Lossless Compression,0.9723089337348938,1.0
SAD,HI.wav,Male,Caucasian,Not Hispanic,White Noise Addition,0.26745128631591797,1.0
SAD,HI.wav,Male,Caucasian,Not Hispanic,Gaussian Noise Addition,1.0,1.0
SAD,HI.wav,Male,Caucasian,Not Hispanic,Low-pass Filter,0.7052634954452515,1.0
SAD,HI.wav,Male,Caucasian,Not Hispanic,High-pass Filter,0.0,1.0
SAD,HI.wav,Male,Caucasian,Not Hispanic,Band-pass Filter,1.0,1.0
SAD,HI.wav,Male,Caucasian,Not Hispanic,Downsampling,0.0,1.0
SAD,HI.wav,Male,Caucasian,Not Hispanic,Upsampling,0.0,1.0
SAD,HI.wav,Male,Caucasian,Not Hispanic,Equalization,0.89857017993927,1.0
SAD,HI.wav,Male,Caucasian,Not Hispanic,Reverberation,1.0,1.0
SAD,HI.wav,Male,Caucasian,Not Hispanic,Time-Scale Modification,0.1662842482328415,1.0
SAD,HI.wav,Male,Caucasian,Not Hispanic,Pitch Shifting,0.0,1.0
SAD,HI.wav,Male,Caucasian,Not Hispanic,Dynamic Range Compression,1.0,1.0
SAD,HI.wav,Male,Caucasian,Not Hispanic,Clipping,1.0,1.0
